1923, Christopher Cormier, 9 Lakeview Drive Kippens, +1 (709) 649-5088, C021130768, 27/04, One Stop Insurance Company, 7464, Y, 201.25
1924, Justin Whalen, 123 Charming Ave, +1 (709) 666-4269, J940423988, 25/03, Two Stop Insurance Company, 7899, N, 465.0
1925, Beck Ocean, 57 Mercy St, +1 (709) 721-0420, R990823767, 26/03, Anthony's Insurance, 21565474, Y, 201.25
1926, Austin Powers, 43 Widow Ave, +1 (709) 649-4099, A960620545, 24/05, Sc Johnson, 8776, Y, 201.25
1927, Ryan Gunichard, 46 Monkey Rd, +1 (709) 649-3426, R961122646, 28/08, Three Stop Insurance Company, 788766, N, 465.0
1928, Dainel Hayward, 76 Soldier St, +1 (709) 721-3853, D011004655, 23/08, Eight Stop Insurance Company, 14267, N, 465.0
1929, Maurice Babin, 123 Young Rd, +1 (709) 649-4311, M020223646, 26/07, Young Insurance, 3467865, Y, 201.25
1930, Mason Brumsey, 12. Charming St, +1 (709) 721-5674, M880803685, 27/08, Negative Four Stop Outsurance, -235, Y, 201.25
1931, Jerry Smith, 12. America Drive, +1 (709) 643-5426, J780411646, 23/09, Rick's Insurance, 1, Y, 201.25
1932, Jhon Chip, 144 Main St, +1 (709) 649-7856, K123545678, 22/05, One Stop Insurance Company, 4636, N, 465.0
